beta,aril,mos,argila,areia,ph,ctc,ca,mg,k,h_al,v_pct,p_mehlich,grupo,rep,mes
144,149,36,32,50,5.81,16.53,8.62,3.23,0.34,4.34,73.74,7.55,C,1,2023-03
152,133,38,28,52,5.6,17.79,8.53,3.73,0.34,5.19,70.83,6.59,C,2,2023-03
141,131,36,30,50,5.5,17.67,9.0,3.46,0.32,4.89,72.33,10.24,C,3,2023-03
121,118,35,34,36,5.65,18.17,9.94,3.9,0.33,4.0,77.99,60.8,N,1,2023-03
120,117,32,30,50,5.63,19.43,10.23,4.32,0.31,4.57,76.48,58.58,N,2,2023-03
124,117,35,34,46,5.1,20.03,9.51,3.86,0.27,6.39,68.1,67.45,N,3,2023-03
160,145,34,36,46,5.37,15.61,6.87,1.62,0.38,6.74,56.82,59.54,P,1,2023-03
167,147,35,36,42,5.1,14.11,5.92,1.56,0.33,6.3,55.35,70.62,P,2,2023-03
168,156,34,32,46,5.17,14.44,6.31,1.62,0.4,6.11,57.69,59.0,P,3,2023-03
98,145,33,30,44,5.55,16.18,9.28,2.94,0.3,3.66,77.38,9.29,C,1,2023-06
91,119,35,32,46,5.55,16.67,8.65,2.66,0.28,5.08,69.53,9.09,C,2,2023-06
91,143,33,30,44,5.36,17.17,9.19,3.02,0.32,4.64,72.98,9.42,C,3,2023-06
94,125,34,30,46,5.81,21.33,12.28,4.63,0.27,4.15,80.54,66.77,N,1,2023-06
96,129,35,30,46,5.62,20.76,12.68,4.54,0.22,3.32,84.01,64.09,N,2,2023-06
85,127,30,32,44,5.06,16.81,8.86,3.05,0.26,4.64,72.4,56.9,N,3,2023-06
131,149,32,30,50,5.16,17.01,8.68,1.44,0.3,6.59,61.26,72.14,P,1,2023-06
141,157,33,30,44,5.33,16.38,8.95,2.04,0.31,5.08,68.99,95.55,P,2,2023-06
129,151,35,34,36,5.59,15.46,8.41,1.87,0.33,4.85,68.63,82.4,P,3,2023-06
111,124,36,32,50,5.12,14.24,7.91,2.62,0.49,3.22,77.39,7.91,C,1,2023-09
122,124,36,32,48,4.9,15.05,7.65,2.59,0.47,4.34,71.16,7.49,C,2,2023-09
127,138,35,26,58,5.27,14.16,7.61,2.58,0.47,3.5,75.28,16.05,C,3,2023-09
125,151,43,28,54,5.08,18.75,9.65,3.42,0.49,5.19,72.32,51.09,N,1,2023-09
129,127,39,32,46,4.94,19.9,11.72,4.48,0.45,3.25,83.67,64.03,N,2,2023-09
125,115,33,30,46,5.13,15.19,7.87,2.56,0.45,4.31,71.63,53.13,N,3,2023-09
161,163,35,32,46,5.24,14.07,7.28,1.5,0.29,5.0,64.46,57.98,P,1,2023-09
154,161,35,34,46,5.1,12.61,7.25,1.63,0.38,3.35,73.43,69.48,P,2,2023-09
156,164,33,30,56,4.97,12.17,7.42,1.68,0.25,2.82,76.83,74.1,P,3,2023-09
170,160,41,28,48,6.0,15.69,8.48,3.61,0.33,3.27,79.16,8.09,C,1,2023-12
149,143,44,26,52,5.95,15.24,8.49,3.43,0.35,2.97,80.51,11.44,C,2,2023-12
148,153,42,26,52,5.89,18.17,9.64,4.07,0.34,4.12,77.33,11.44,C,3,2023-12
133,144,36,28,48,5.88,15.42,8.11,3.6,0.36,3.35,78.27,60.08,N,1,2023-12
141,138,38,28,46,5.73,15.26,7.57,3.17,0.43,4.09,73.2,62.24,N,2,2023-12
135,135,37,30,48,5.86,16.96,9.21,4.07,0.41,3.27,80.72,63.97,N,3,2023-12
163,156,39,34,36,5.78,11.55,5.77,1.6,0.52,3.66,68.31,94.52,P,1,2023-12
156,144,40,32,40,5.69,12.98,6.5,1.92,0.56,4.0,69.18,79.19,P,2,2023-12
151,147,38,36,36,4.93,12.46,5.8,1.73,0.56,4.37,64.93,86.38,P,3,2023-12
